time,x
0.03125,2107.00
0.06250,2096.00
0.09375,2096.00
0.12500,2096.00
0.15625,2099.00
0.18750,2098.00
0.21875,2096.00
0.25000,2097.00
0.28125,2096.00
0.31250,2096.00
0.34375,2098.00
0.37500,2097.00
0.40625,2096.00
0.43750,2096.00
0.46875,2096.00
0.50000,2096.00
0.53125,2102.00
0.56250,2096.00
0.59375,2099.00
0.62500,2096.00
0.65625,2098.00
0.68750,2096.00
0.71875,2098.00
0.75000,2096.00
0.78125,2098.00
0.81250,2097.00
0.84375,2099.00
0.87500,2096.00
0.90625,2097.00
0.93750,2100.00
0.96875,2098.00
1.00000,2097.00
1.03125,2100.00
1.06250,2098.00
1.09375,2097.00
1.12500,2096.00
1.15625,2099.00
1.18750,2099.00
1.21875,2096.00
1.25000,2097.00
1.28125,2098.00
1.31250,2101.00
1.34375,2098.00
1.37500,2096.00
1.40625,2097.00
1.43750,2100.00
1.46875,2102.00
1.50000,2096.00
1.53125,2100.00
1.56250,2097.00
1.59375,2100.00
1.62500,2097.00
1.65625,2098.00
1.68750,2099.00
1.71875,2103.00
1.75000,2096.00
1.78125,2097.00
1.81250,2103.00
1.84375,2100.00
1.87500,2099.00
1.90625,2098.00
1.93750,2100.00
1.96875,2096.00
2.00000,2098.00
2.03125,2097.00
2.06250,2098.00
2.09375,2097.00
2.12500,2097.00
2.15625,2101.00
2.18750,2100.00
2.21875,2101.00
2.25000,2096.00
2.28125,2101.00
2.31250,2099.00
2.34375,2100.00
2.37500,2100.00
2.40625,2099.00
2.43750,2101.00
2.46875,2098.00
2.50000,2098.00
2.53125,2100.00
2.56250,2100.00
2.59375,2097.00
2.62500,2099.00
2.65625,2099.00
2.68750,2099.00
2.71875,2103.00
2.75000,2100.00
2.78125,2101.00
2.81250,2106.00
2.84375,2099.00
2.87500,2099.00
2.90625,2105.00
2.93750,2101.00
2.96875,2101.00
3.00000,2099.00
3.03125,2099.00
3.06250,2102.00
3.09375,2096.00
3.12500,2099.00
3.15625,2098.00
3.18750,2099.00
3.21875,2101.00
3.25000,2097.00
3.28125,2100.00
3.31250,2098.00
3.34375,2101.00
3.37500,2099.00
3.40625,2101.00
3.43750,2100.00
3.46875,2101.00
3.50000,2097.00
3.53125,2099.00
3.56250,2098.00
3.59375,2101.00
3.62500,2098.00
3.65625,2100.00
3.68750,2102.00
3.71875,2100.00
3.75000,2098.00
3.78125,2098.00
3.81250,2100.00
3.84375,2100.00
3.87500,2098.00
3.90625,2099.00
3.93750,2099.00
3.96875,2102.00
4.00000,2098.00
4.03125,2096.00
4.06250,2098.00
4.09375,2093.00
4.12500,2103.00
4.15625,2098.00
4.18750,2099.00
4.21875,2099.00
4.25000,2101.00
4.28125,2101.00
4.31250,2097.00
4.34375,2100.00
4.37500,2100.00
4.40625,2098.00
4.43750,2102.00
4.46875,2098.00
4.50000,2099.00
4.53125,2096.00
4.56250,2097.00
4.59375,2095.00
4.62500,2102.00
4.65625,2099.00
4.68750,2098.00
4.71875,2102.00
4.75000,2097.00
4.78125,2100.00
4.81250,2098.00
4.84375,2102.00
4.87500,2099.00
4.90625,2101.00
4.93750,2102.00
4.96875,2099.00
5.00000,2099.00
5.03125,2100.00
5.06250,2098.00
5.09375,2099.00
5.12500,2098.00
5.15625,2102.00
5.18750,2098.00
5.21875,2101.00
5.25000,2096.00
5.28125,2102.00
5.31250,2097.00
5.34375,2101.00
5.37500,2096.00
5.40625,2101.00
5.43750,2096.00
5.46875,2101.00
5.50000,2098.00
5.53125,2096.00
5.56250,2101.00
5.59375,2101.00
